name,strength,price_byn
Бустер,20mg,2
CHROME PINK,20mg,12
CHROME BASIC,20mg,12
CHROME GENETIC,20mg,12
CHROME SOUR,20mg,12
CHROME NORTH,20mg,12
CHROME PHOENIX,20mg,12
HOTSPOT x CATSWILL Killer,70mg,12
BJORN ZLOY V2.0,20mg (Hard),11
BJORN ZLOY,60mg (Hard),11
BJORN ZLOY LONG,80mg (Extra Hard),12
BJORN ТЕМНЫЙ ХОР,80mg (Extra Hard),12
BJORN JOKER,20mg (Extra Hard),11.5
BJORN JOKER,20mg (Hard),11.5
BJORN JOKER,20mg (Soft),11.5
BJORN СОН ПРИЗРАКА,20mg (Hard),12
BJORN СОН ПРИЗРАКА,20mg (Soft),12
VOZOL SALT PRIME,50mg,14
LOST MARY ICE,20mg (Hard),13
LOST MARY ICE,20mg,12.5
LOST MARY REGULAR,20mg (Hard),13
LOST MARY REGULAR,20mg,12.5
LOST MARY SOUR,20mg (Hard),13
LOST MARY SOUR,20mg,12.5
OGGO КILLERША,80mg,14
ISTERIKA x САМОУБИЙЦА V2 DANGER,20mg (Hard),12
MRAZZ!,70mg (Extra Hard),12
MRAZZ! Sour,70mg (Extra Hard),12
TOXIC ALFA,20mg (Hard),8
УБИВАШКА,80mg (Extra Hard),11
ELFLIQ Ice King,30mg,14
ELFLIQ (Premium),50mg,14
HOT SPOT x МОНАШКА,70mg (Strong),12.5
DOGSWILL,20mg,10.5
SLIME PREMIUM LIQUID,60mg (Extra Hard),11
ANNIMA LOVE KILLER,80mg (Extra Hard),11.5
ANNIMA LOVE ZOMBI,20mg (Strong),12
RELL EAZY,2% (Hard),11
RICK and MORTY RUSSIA,70mg (Extra Hard),10.5
RICK and MORTY CATSWILL,20mg (Hard),14
Рик и Морти на ЗаМеРзОнЕ,20mg (Strong),12
RICK and MORTY BAD TRIP,20mg (Strong),11
RICK and MORTY BAD ICE,20mg (Strong),11
PODONKI x BLOOD,20mg,8.5
PODONKI LAST HAP V2,20mg (Strong),11.5
PODONKI CRITICAL,20mg (Strong),11
PODONKI PODGON,20mg,9
Podonki & Анархия,20mg (Strong),11
PODONKI & MALASIAN V3,20mg (Strong),10
PODONKI INFERNO,20mg (Strong),12.5
EVIL HUSKY,20mg (Hard),11
Husky & Мишка,20mg (Strong),10.5
Husky & Мишка,20mg,10.5
Husky Double Ice,20mg (Strong),12
Husky Double Ice,20mg,12
VLIQ SHOCK,20mg (Strong),11
Freeze Monkey Max Flavor,20mg,8
CATSWILL EXTRA,20mg,12
CATSWILL MONSTER CATS,20mg,13
CATSWILL MONSTER HARD,20mg (Strong),14
CATSWILL,20mg (Strong),11
CATSWILL,20mg,11
CATSWILL SOUR,20mg (Strong),11
CATSWILL SOUR,20mg,11
САМОУБИЙЦА x ГРЕХ,2%,13
САМОУБИЙЦА V2 ACID,70mg,12.5
